budget,approximate_count,character_count_body,prev_1_cost_per_click,prev_2_cost_per_click,prev_3_cost_per_click,prev_1_clicks,prev_2_clicks,prev_3_clicks,prev_1_spend,prev_2_spend,prev_3_spend,interest - Auto Racing,interest - Indianapolis Motor Speedway,interest - Nascar Racing,interest - Nascar Racing.1,aws_label_classroom,aws_label_computer,aws_label_electronics,aws_label_lcd_screen,aws_label_laptop,aws_label_pc,goal_detail_AWARENESS,goal_detail_ENGAGEMENT,goal_detail_PAGEVIEW,goal_detail_PURCHASE,goal_detail_SIGNUP,goal_AWARENESS,goal_CONVERSION,goal_ENGAGEMENT,call_to_action_Apply Now,call_to_action_Contact Us,call_to_action_Download,call_to_action_Learn More,call_to_action_Shop Now,call_to_action_Upgrade,call_to_action_Vote,mime_type_image/jpeg,mime_type_image/png,genders_F,genders_M,"genders_M,F",genders_undefined,states_Indiana,"states_Indiana, Kentucky, Ohio","states_Indiana, Ohio, Kentucky",states_None,"states_indiana, kentucky, ohio, illinois, michigan","states_ohio, indiana, kentucky, michigan, illinois",states_undefined,countries_United States,countries_undefined,languages_English,languages_undefined,age_range_0.0-0.0,age_range_18.0-34.0,age_range_18.0-35.0,age_range_18.0-54.0,age_range_25.0-35.0,age_range_25.0-54.0,age_range_25.0-55.0,age_range_30.0-60.0,age_range_36.0-45.0,age_range_46.0-55.0,cost_per_click
27.77777778,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.456666667
27.77777778,0,139,0.456666667,0,0,3,0,0,1.37,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1.37
27.77777778,0,139,1.37,0.456666667,0,1,3,0,1.37,1.37,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.685
27.77777778,0,139,0.685,1.37,0.456666667,2,1,3,1.37,1.37,1.37,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.7
27.77777778,0,139,0.7,0.685,1.37,2,2,1,1.4,1.37,1.37,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
27.77777778,0,139,0,0.7,0.685,0,2,2,1.39,1.4,1.37,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.64
27.77777778,0,139,0.64,0,0.7,2,0,2,1.28,1.39,1.4,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1.485
27.77777778,0,139,1.485,0.64,0,6,2,0,8.91,1.28,1.39,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2.915714286
27.77777778,0,139,2.915714286,1.485,0.64,7,6,2,20.41,8.91,1.28,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2.223333333
27.77777778,0,139,2.223333333,2.915714286,1.485,9,7,6,20.01,20.41,8.91,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.990454545
